Plot_ID,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Typology_ID
CuP2,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,T1
CuP3,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,T1
CuP4,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.804689290327236,0.7268947005519822,21.307692307692307,22.46153846153846,T1
CuP5,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,T1
CuP6,12,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,0.8151852102725584,22.145,23.3505,T1
CuP7,10,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,0.796234603853356,21.196,22.148000000000003,T1
CuP8,11,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.56674400458333,1.7460953380476807,0.7978924330681779,23.666666666666668,24.05458333333333,T1
CuP9,14,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,0.7765074705500125,20.791666666666668,21.738333333333333,T1
CuP10,13,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,0.8247789215583404,22.78695652173913,23.544347826086955,T1
BmP1,10,0.893,0.54,10.493065249566962,2.3493239389796328,21.62654869238096,1.6922096019465238,0.7247879056998263,27.904761904761905,26.45714285714286,T1
BmP2,10,0.934,0.6011764705882352,15.43824191382353,2.252714835489446,23.327524133176468,1.585489648486885,0.780933513028226,28.338461538461537,27.85384615384616,T2
BmP3,11,0.891,0.6069565217391304,11.672870203691277,2.16831109864728,22.679145064434785,1.6852035581350082,0.7104401580565961,32.233333333333334,29.88888888888889,T2
BmP4,11,0.948,0.5711111111111111,14.105906555573078,2.197130580555484,24.99491993722222,1.7597126021974243,0.81335350504935,29.85,29.8625,T2
BmP5,5,0.97,0.4599999999999999,17.267074181434733,1.4018732989339722,25.36027798,1.9907648308977288,0.9694333572848978,31.64,29.160000000000004,T3
BmP6,14,0.922,0.555,13.194251344572068,2.006781958849116,23.497361270214288,1.7885764164145614,0.7766598784129466,29.863636363636363,28.33636363636364,T2
BmP7,10,0.958,0.5614285714285715,15.261318085573274,1.941816130666414,20.196206499142857,1.8275097408946472,0.7587589704179671,31.83636363636364,30.281818181818185,T2
BmP8,8,0.924,0.636470588235294,12.835224762974375,2.3587842585916303,21.100448958235297,1.5753154471664896,0.7141159994520714,27.135714285714283,26.821428571428573,T1
BmP9,14,0.973,0.5781250000000001,14.35028809565496,2.238809270184188,25.544227017,1.6469926742285126,0.7665014055607058,30.43076923076924,28.66923076923077,T2
BsP1,7,0.768,0.5485185185185185,12.926785118750628,1.8531747457943168,21.269943194000003,1.4615722971983691,0.42640420655001,29.06296296296296,29.17407407407407,T1
BsP2,7,0.77,0.5675000000000001,11.880617518478736,1.496132097017028,19.9259936604,1.2376536979554675,0.6817208475770298,29.06,28.855,T1
BsP3,8,0.878,0.541111111111111,12.414858938674309,2.7474583171693,30.47159690055556,1.670383487840285,0.7693542619485259,28.427777777777777,29.77777777777778,T1
BsP4,13,0.845,0.5199033743906257,14.565950450277777,2.2388629136331826,22.52169870388889,1.3718923212641478,0.6903569542590597,34.56666666666667,34.044444444444444,T2
BsP5,12,0.961,0.47,16.55329870242334,1.5042409010164042,27.4457362834,1.8642543387857864,0.8960697993611846,33.21315789473684,30.489473684210523,T3
BsP6,8,0.849,0.531,11.906946770797154,1.7602390769296083,22.0661667889,1.3482727092943954,0.8804636071436512,26.945,27.385,T1
BsP7,11,0.944,0.5061111111111112,13.090560732007642,2.602816771398309,28.261280040000003,1.7537725052501962,0.76191860081743,32.023529411764706,32.15294117647059,T2
