Canonical_Species,Z_WD,Z_SLA,Z_Log10_Seed_Mass,Z_Max_Height
Scotellia coriaceae,0.2913566718244238,0.45889084515847517,0.019047764947271735,1.7262146428162057
Terminalia superba,-0.48103387212888055,-0.6647657395515953,-0.06632198940888095,1.0095617362255709
Zanthoxylum xanthoxyloides,1.2568448517660544,-0.3899236181888015,-0.8726249623530967,-1.064218605527645
Diallium guineense,1.2568448517660544,0.7125952465018592,0.019047764947271735,-0.6142938643443342
Dillenia indica,0.09825903583609827,-0.8345988403914731,-0.7792572566951443,-0.4879549964957453
Margartaria discoidea,0.8062837011266273,0.6173582269049602,-1.024175144071036,0.2855556194984001
Musanga cecropioides,-2.0901808386982648,-0.4977576834825037,-2.079860082548545,-0.6142938643443342
Pavetta corymbosia,0.6775519438010764,0.38646583094905207,-0.5903897818849071,-1.5141433475966233
Pycanthus angolensis,-0.8028632654427573,-0.040053365917321164,1.1838860582197261,0.7354803614197674
Ricinodendron heudeotii,-1.8970832027099385,0.10386472254310299,1.1245095011730255,1.4103674739327896
Afzelia africana,0.7419178224638519,0.44963347094579853,1.3621801666829438,0.2855556194984001
Albizia zygia,-0.15920447881500344,0.7396201864839488,-0.313060208761135,-0.1643691224229672
Anthocleista djalonensis,-0.4166679934661051,0.9103743653388598,-1.9040688698533854,-0.9517374202318172
Anthocleista vogelii,-0.7384973867799819,0.9103743653388598,0.019047764947271735,-0.6142938643443342
Brachystegia eurycoma,0.4200884291499747,-0.5539331205239254,1.890643340651973,0.7354803614197674
Bridelia ferruginea,0.613186065138301,-0.15212853996060455,-0.37715573967792876,-1.5141433475966233
Cassia saimen,0.8706495797894026,-1.2506670649310294,-0.7155084707580391,-0.38933149301462244
Ceiba pentandra,-1.5108879307332863,-0.36229471313654493,-0.4066069393576166,2.4642711892535227
Diospyrous melistoformis,0.9350154584521774,-2.0144944836008913,0.5476361086555741,0.06059324890674488
Drypetes,1.0637472157777281,-0.18674313543019957,0.019047764947271735,-0.8569832697144038
Funtumia africana,-0.8672291441055328,-0.5541171375913775,-0.48494635462486535,0.2855556194984001
Gmelina arborea,-0.7384973867799819,-0.7239767431017138,0.8382253391833253,0.2501015499415717
Harungana madagascariensis,-0.8028632654427573,-0.8467876511662941,-1.7357811215271741,-0.11892672327708678
Hexalobus crispiflorus,-0.2879362361405543,0.08460411386196276,1.145375735126216,-0.1643691224229672
Holarrhena floribunda,-0.5453997507916556,0.09436178803518523,-0.9043854908334232,-0.8392562349359896
Macaranga barteri,-0.8672291441055328,-0.05786605507179176,0.019047764947271735,-0.8392562349359896
Melacantha alnifolia,-0.35230211480332974,-0.5048934822418193,-0.7564218245429878,-0.11892672327708678
Musanga cecropoides,-2.0901808386982648,-0.4977576834825037,-2.079860082548545,-0.6142938643443342
Nothospondia staudtii,-0.35230211480332974,-0.9835993011380432,0.019047764947271735,-0.1643691224229672
Nuclea diderrichi,0.4844543078127501,1.4607913376913904,-1.9433307658170476,0.9881580963788887
Rauvolvia vomitoria,-0.22357035747777887,4.938961843588501,-0.3223023446203888,-0.8392562349359896
Rothmania hispida,1.0637472157777281,0.48804532384168964,0.019047764947271735,-1.1766997915615292
Spondia mombin,-0.9959609014310833,-0.20552740639076586,-0.7131750639748763,0.028684586010376607
Sterculia oblonga,0.03389315717332284,-0.6650371141896926,0.9612613478941521,0.7354803614197674
Albizia auxilary,0.03389315717332284,-0.1910701623374444,-0.18114427473323585,-0.6355663057832087
Blighia unijigata,0.09825903583609827,-0.4284068471795572,0.41459377722157703,-0.11892672327708678
Cleistoformis patens,-1.7683514453843876,0.08460411386196276,1.109908908826811,0.06059324890674488
Dialium guineense,1.2568448517660544,0.7125952465018592,0.019047764947271735,-0.6142938643443342
Diospyros soubreana,0.9350154584521774,-2.0144944836008913,0.019047764947271735,-1.6266245330400622
Diospyros undebunda,0.9350154584521774,0.3264172045606057,0.019047764947271735,-0.9781659996168423
Milicia excelsa,-0.15920447881500344,1.157140326656678,-1.772727410911434,1.6353298452625014
Musanga cecropoidies,-2.0901808386982648,-0.4977576834825037,-2.079860082548545,-0.6142938643443342
Myrianthus arboreus,-0.2879362361405543,1.32414838272577,0.019047764947271735,-0.4879549964957453
Piptadeniastrum africanum,0.35572255048719925,0.05989588989634782,0.220361496991488,1.6353298452625014
Ricinidendron heudeloti,-1.8970832027099385,0.10386472254310299,1.1245095011730255,1.4103674739327896
Scotellia coriacea,0.2913566718244238,0.45889084515847517,0.019047764947271735,1.7262146428162057
Strombosia putulata,1.3212107304288299,-0.5763022957003312,0.019047764947271735,1.4103674739327896
Zanthoxylum zanthoxyloides,1.2568448517660544,-0.3899236181888015,-0.8726249623530967,-1.064218605527645
Albizia ferruginea,-0.09483860015222802,-0.5271447675258953,-0.07962426515379104,1.4103674739327896
Aningeria robusta,-0.030472721489452587,-0.5048934822418193,0.019047764947271735,1.4103264409410339
Artocarpus communis,-1.1890585374194096,-0.2214352634409158,1.7053585201132422,-0.4879549964957453
Bambusa vulgaris,0.9350154584521774,0.15851341008477157,0.019047764947271735,-1.004594579001867
Chrysophylum albidum,0.35572255048719925,0.12912982879865967,0.9234385027694987,2.4642711892535227
Cola nitida,0.2913566718244238,0.0906655658348894,1.2261621949224288,-0.1643691224229672
Corynante pachycercus,0.8706495797894026,-0.3710179166965979,0.019047764947271735,-0.38933149301462244
Diospyrous dendo,1.1281130944405036,-2.0144944836008913,0.019047764947271735,-0.8392562349359896
