Plot_ID,Zone,Habitat,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,RaoQ,FEve,FRic_4D,CWM_Log10_Seed_Mass_CellResidual,FDis_CellResidual,RaoQ_CellResidual
BsP7,Buffer,Stream,0.5061111111111112,13.090560732007642,2.602816771398309,28.261280040000003,1.7537725052501962,2.3097817277030828,0.76191860081743,5.429577272321082,0.6448198625253923,0.16680695094403486,0.2469784361058749
BsP8,Buffer,Stream,0.5526315789473684,15.741444597960525,1.9513772211414817,28.302088835684213,1.8390226503426372,2.477895778840737,0.8358519801121154,10.431050509631497,-0.006619687731435064,0.25205709603647586,0.4150924872435291
BsP9,Buffer,Stream,0.5617391304347826,14.913932696776266,1.7094954545951884,23.10185522069565,1.5589992381964568,2.0527035246003926,0.7587968252820148,6.207588912403677,-0.2485014542777284,-0.02796631610970457,-0.010099766996815251
BsP10,Buffer,Stream,0.4529166666666667,14.63175004415631,1.716171590034348,27.048230106166667,1.7638322969338716,2.437238538417938,0.8041230868903609,11.414058160616682,-0.24182531883856884,0.17686674262771018,0.37443524682073015
BuP1,Buffer,Upland,0.4742857142857143,16.299374171428575,1.8578084593585757,25.625091440714282,1.7323527466091853,2.2926672882514563,0.8847929762892732,1.9074967821137865,-0.2395565673705471,0.15186145058785327,0.19890472344255494
BuP2,Buffer,Upland,0.6646666666666667,13.829592405120327,2.060182970210439,24.404066812666667,1.3121914361187996,1.7433507714917669,0.8327168418268337,1.3979902401689521,-0.037182056518684004,-0.26829985990253236,-0.35041179331713446
BuP3,Buffer,Upland,0.6822727272727273,11.341397727922015,1.949926369933223,20.33367693,1.4108311948002903,1.7638644038613687,0.8242128988695961,0.9961429739302265,-0.14743865679589985,-0.1696601012210417,-0.32989816094753266
BuP4,Buffer,Upland,0.6058823529411765,12.341068007622953,2.2662072373548163,25.218386820117647,1.6325721932941426,2.1305743462575313,0.7250472158938284,7.384942606732446,0.1688422106256935,0.05208089727281062,0.036811781448629954
BuP5,Buffer,Upland,0.5626666666666666,14.605048418415596,2.1519612836038484,26.151768024,1.5217031752294299,1.9339008966724547,0.6203294212967464,4.775116151447067,0.05459625687472558,-0.0587881207919021,-0.15986166813644664
BuP6,Buffer,Upland,0.6005555555555556,14.32755163822413,2.038546861009265,20.697828306555554,1.667081330417253,2.2934496459131974,0.7427885480053447,8.471014714052858,-0.05881816571985787,0.08659003439592095,0.19968708110429612
BuP7,Buffer,Upland,0.5858823529411764,13.982359906494898,2.10380393891416,28.007963192941176,1.752807867226157,2.366950570034404,0.843365143118902,8.767591111468352,0.006438912185037005,0.1723165712048249,0.27318800522550246
BuP8,Buffer,Upland,0.6592,14.480674650072196,2.150386762931283,24.4110034814,1.4082109927912507,1.9084820008953953,0.7350509401487123,6.41537876549587,0.05302173620216033,-0.17228030323008126,-0.185280563913506
BuP9,Buffer,Upland,0.5619999999999999,12.397619236786815,2.2107211354462164,28.3896057056,1.8201912166460104,2.4080727220588276,0.8078469336338872,4.642887775002874,0.11335610871709356,0.23969992062467838,0.3143101572499263
BuP10,Buffer,Upland,0.61375,13.785111285515795,2.184105248529403,24.102605075416662,1.5469708070808017,2.096313002652612,0.8110248032782377,10.801961750897433,0.08674022180028018,-0.03352048894053028,0.0025504378437104513
TmP1,Transition,Major River,0.5588888888888889,19.12077266090363,2.9177814188008777,26.071337613333338,1.4718575945763408,1.8476634880831146,0.8502705880277295,0.5919808075124662,0.5033582081440309,-0.06975092960923734,-0.1605619738705717
TmP2,Transition,Major River,0.4175,16.0992270452098,1.3798571871854517,22.68814516666667,2.1676288473661294,2.6681643800871866,0.8049704513644579,4.229245534865635,-1.0345660234713951,0.6260203231805512,0.6599389181335003
TmP3,Transition,Major River,0.5196774193548387,20.08505417350689,1.9949130445923133,21.631212842258062,1.7014110630494061,2.3581690703371594,0.6536586429406628,6.440448604626225,-0.4195101660645335,0.159802538863828,0.34994360838347305
TmP4,Transition,Major River,0.46111111111111114,13.847719242169045,2.485763280838047,41.24330894777778,1.0027869076632236,1.1731788783397201,0.7253568025645437,0.0025624302374430137,0.07134007018120014,-0.5388216165223545,-0.8350465836139662
TmP5,Transition,Major River,0.4525,21.528194813553476,3.104002577047117,24.621189953749997,1.297295647135223,1.5317603797735173,0.7333428999438704,,0.6895793663902703,-0.2443128770503551,-0.47646508218016903
TmP6,Transition,Major River,0.5377777777777778,15.687674527879661,2.330184917643674,29.678493185055554,1.4951097983940702,2.0684660946696516,0.7025248556315132,6.424746861102641,-0.08423829301317287,-0.04649872579150793,0.06024063271596525
TmP7,Transition,Major River,0.5389999999999999,19.03031606201734,2.8550533105808586,21.2696171651,1.7859883176606266,2.4421329967434797,0.755327155532082,3.85217431924497,0.4406300999240118,0.24437979347504846,0.4339075347897934
TmP8,Transition,Major River,0.4641666666666666,15.879948810334218,2.2501527052475296,35.05242623666666,1.3943505685635922,1.8789404619821097,0.8415366209001289,1.0024297716863813,-0.1642705054093172,-0.14725795562198596,-0.1292849999715766
TmP9,Transition,Major River,0.553076923076923,15.169469782262977,2.4758827057602915,25.120064523923077,1.6330604151148294,2.145241141302236,0.9328925339061473,3.1378082666130243,0.06145949510344462,0.09145189092925121,0.13701567934854975
TmP10,Transition,Major River,0.5299999999999999,14.005026947756502,2.3506409588723045,23.596172964666664,1.4665960823323405,1.9685377282186869,0.8460223445595917,2.5791756105396573,-0.06378225178454233,-0.07501244185323763,-0.03968773373499945
TsP1,Transition,Stream,0.42000000000000004,16.76091873229167,1.3221971321881052,29.378471376000007,2.0714197313272513,2.5571850420537796,0.8033516727161705,2.5749867186792446,-0.7060959330554091,0.5111895744469521,0.625176748304622
TsP2,Transition,Stream,0.40230769230769226,13.640990887702715,2.070986544481538,29.746740945384616,1.9856472167908747,2.492364214687825,0.8256685572649909,2.076307112613525,0.0426934792380238,0.42541705991057555,0.5603559209386675
