Metric,Comparison_Family,Level_A,Level_B,Difference_A_minus_B,HC3_SE,HC3_t,Raw_p,CI95_Lower,CI95_Upper,Holm_p,Holm_Significant
Functional Dispersion,Zone_within_Major River,Core,Transition,-0.053670644146150276,0.11236551144397137,-0.4776433930344542,0.6341904666352658,-0.27724276549446014,0.16990147720215962,0.6341904666352658,False
Functional Dispersion,Zone_within_Stream,Buffer,Core,-0.11081942134588027,0.0884751696453631,-1.252548277557196,0.21397441572011916,-0.28685725635478854,0.06521841366302797,0.6419232471603575,False
Functional Dispersion,Zone_within_Stream,Buffer,Transition,0.026735397425862395,0.16147565608355982,0.16556921380166098,0.8689085234273793,-0.29455050705482694,0.3480213019065517,0.8689085234273793,False
Functional Dispersion,Zone_within_Stream,Core,Transition,0.13755481877174267,0.15111102256711342,0.9102897752587837,0.3653706112471373,-0.16310871615363023,0.4382183536971156,0.7307412224942746,False
Functional Dispersion,Zone_within_Upland,Buffer,Core,-0.11426271135657354,0.0638028754847119,-1.7908708735855101,0.0770498266234702,-0.2412104201057285,0.012684997392581415,0.23114947987041057,False
Functional Dispersion,Zone_within_Upland,Buffer,Transition,-0.12631692103505532,0.19381893008030532,-0.6517264386028663,0.5164226455755823,-0.5119557954428884,0.2593219533727778,1.0,False
Functional Dispersion,Zone_within_Upland,Core,Transition,-0.012054209678481753,0.187960524793417,-0.06413160258905562,0.9490234444499177,-0.38603669520972556,0.36192827585276205,1.0,False
Rao Quadratic Entropy,Zone_within_Major River,Buffer,Core,0.2946654154612185,0.07919304800033349,3.7208495303776874,0.00036496619338617566,0.13709609094208897,0.452234739980348,0.001094898580158527,True
Rao Quadratic Entropy,Zone_within_Major River,Buffer,Transition,0.2457015564680394,0.15347822052035667,1.6008887491333055,0.11329477903001228,-0.0596719598498168,0.5510750727858956,0.22658955806002457,False
Rao Quadratic Entropy,Zone_within_Major River,Core,Transition,-0.048963858993179066,0.1600190192662556,-0.3059877458173151,0.7603990436358549,-0.36735151312023445,0.2694237951338763,0.7603990436358549,False
Rao Quadratic Entropy,Zone_within_Stream,Buffer,Core,-0.1556582193100663,0.1305263195636433,-1.1925427747479613,0.2365303160334286,-0.41536465219701246,0.10404821357687988,0.5229555056732894,False
Rao Quadratic Entropy,Zone_within_Stream,Buffer,Transition,0.1307949978480498,0.23324484392865816,0.560762654577932,0.5765072708623873,-0.33328907813364106,0.5948790738297407,0.5765072708623873,False
Rao Quadratic Entropy,Zone_within_Stream,Core,Transition,0.2864532171581161,0.20901436384962727,1.370495366357698,0.17431850189109646,-0.12941980399953207,0.7023262383157642,0.5229555056732894,False
Rao Quadratic Entropy,Zone_within_Upland,Buffer,Core,-0.0311598657016839,0.0940311517964276,-0.33137811359732505,0.7412147141347474,-0.21825236240993584,0.155932631006568,1.0,False
Rao Quadratic Entropy,Zone_within_Upland,Buffer,Transition,-0.016671764523989996,0.25969902260903316,-0.064196485441105,0.9489719423902485,-0.5333913580243081,0.5000478289763282,1.0,False
Rao Quadratic Entropy,Zone_within_Upland,Core,Transition,0.01448810117769389,0.25062057592986814,0.05780890544975899,0.9540432184685668,-0.4841682311268569,0.5131444334822447,1.0,False
