Bootstrap_ID,Sample_Seed,Turning_Point_Detected,Dominant_Turning_Value,SHAP_at_Turning_Value,N_Central_Turning_Candidates,CWM_WD_SHAP_Direction_Correlation,CWM_WD_SHAP_Importance_Rank
76,1021568549,True,0.636470588235294,0.8396936219330764,2,0.8238326696144097,1
77,709091226,True,0.636470588235294,0.8457538058791271,4,0.8603273676109571,1
78,487284116,True,0.6005555555555556,1.2181460800336157,2,0.8951859280950051,1
79,1212254290,True,0.5711111111111111,0.82297946406478,4,0.8918421148217689,1
80,1438414599,True,0.6696,0.9919081339394616,7,0.774146080343839,1
81,2019291964,True,0.4609999999999999,-2.4757689672969896,4,0.8514675085722535,1
82,938776596,True,0.5690000000000001,1.4330886990970728,6,0.8911069502819708,1
83,345075200,True,0.6736363636363637,0.9915788987054801,3,0.7822079242025292,1
84,1788162809,True,0.5299999999999999,0.9874836102789056,4,0.864264556584307,1
85,1352408538,True,0.6058333333333333,0.8316132469438706,3,0.7686708844894173,2
86,1503807854,True,0.4525,-1.8818510880221813,3,0.8827258553408909,1
87,208792607,True,0.5711111111111111,1.026815174830152,2,0.8762375199167671,2
88,670802254,True,0.422,-2.4079181242312915,5,0.8784639801897179,1
89,1648932249,True,0.5299999999999999,0.7719950381146412,4,0.8875897801002225,1
90,1787264313,True,0.6502608591225009,1.3759328807076334,2,0.869991694824198,1
91,934620676,True,0.6173076923076923,1.253492466415459,3,0.8631738287026728,1
92,1728218297,True,0.53,0.9830179720591414,5,0.8277265559041268,1
93,1807519524,True,0.6592,1.5967711386907197,1,0.875886325010265,1
94,832103482,True,0.4285714285714285,-2.591262328546595,4,0.8604082856993042,1
95,1928628490,True,0.4157142857142856,-2.787570408399039,3,0.8565026379652835,1
96,619179887,True,0.6058333333333333,0.7188689412932848,2,0.841939504960091,1
97,514446424,True,0.6136666666666666,1.4082088722598414,3,0.9050078987740611,1
98,1465647933,True,0.5614285714285715,1.5163994325327095,5,0.7916088332298182,1
99,1367435607,True,0.636470588235294,0.9127259924969636,4,0.9071811187536718,1
100,300116172,True,0.5675000000000001,0.7230645988914773,2,0.8713757916525713,2
