Experiment_ID,Selected_Model,Target,Plot_ID,Observed,N_OOF_Predictions,Mean_OOF_Prediction,SD_OOF_Prediction,Min_OOF_Prediction,Max_OOF_Prediction,Mean_Error,Mean_Absolute_Error,RMSE,Habitat,Zone,Absolute_Bias,Prediction_Range,MAE_Percentile,Prediction_SD_Percentile,Uncertainty_Class
CD01_CWM_WD,RIDGE,CWM_WD,BuP8,0.6592,20,0.6213421808596776,0.0058099705324495925,0.6139385895626783,0.636630728578573,-0.03785781914032237,0.03785781914032237,0.038279007821126906,Upland,Buffer,0.03785781914032237,0.02269213901589462,0.43333333333333335,0.5,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BuP9,0.5619999999999999,20,0.5865791947885578,0.008110939250821824,0.5723369061885817,0.6010357315113417,0.0245791947885578,0.0245791947885578,0.0258192715855398,Upland,Buffer,0.0245791947885578,0.028698825322760024,0.28888888888888886,0.7666666666666667,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CmP1,0.6200000000000001,20,0.5813130135332379,0.004060534810594807,0.5753319776679752,0.5925057423452017,-0.038686986466762184,0.038686986466762184,0.03888889902890142,Major River,Core,0.038686986466762184,0.017173764677226533,0.4444444444444444,0.12222222222222222,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CmP10,0.6696875,20,0.6143321662209449,0.005641552939406992,0.6027669040877728,0.6228211193409845,-0.055355333779055126,0.055355333779055126,0.055627769516495326,Major River,Core,0.055355333779055126,0.020054215253211716,0.5666666666666667,0.4222222222222222,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CmP2,0.6736363636363637,20,0.6573369864565846,0.009196244707831643,0.6386614904168951,0.6737419690132792,-0.016299377179779195,0.016309937717470746,0.018601399606984214,Major River,Core,0.016299377179779195,0.03508047859638408,0.17777777777777778,0.8555555555555555,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CmP3,0.6368181818181818,20,0.5765381794546115,0.0059283848465862266,0.5685636456062678,0.5878731852411052,-0.060280002363570354,0.060280002363570354,0.060556313828508575,Major River,Core,0.060280002363570354,0.01930953963483739,0.6,0.5111111111111111,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CmP4,0.6514285714285714,20,0.5410157709526727,0.004404948763390873,0.5347989923738105,0.5511869223725027,-0.11041280047589866,0.11041280047589866,0.11049624384502083,Major River,Core,0.11041280047589866,0.016387929998692208,0.8333333333333334,0.18888888888888888,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CmP5,0.7284615384615385,20,0.5091172146013193,0.005805926637041131,0.49657717555292147,0.5184868134535865,-0.2193443238602192,0.2193443238602192,0.21941730960570477,Major River,Core,0.2193443238602192,0.021909637900665024,1.0,0.4888888888888889,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,CmP6,0.6904545454545455,20,0.6172982860041754,0.006717530223158768,0.6037769414913924,0.6346682751597903,-0.07315625945037016,0.07315625945037016,0.07344867084198306,Major River,Core,0.07315625945037016,0.030891333668397913,0.6444444444444445,0.6,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CmP7,0.6136666666666666,20,0.6570020403853615,0.008978102453274493,0.6399309515940363,0.6743971343617787,0.043335373718694885,0.043335373718694885,0.04421007377077502,Major River,Core,0.043335373718694885,0.03446618276774238,0.4888888888888889,0.8333333333333334,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CmP8,0.6404166666666667,20,0.5746192381615836,0.004571933591351626,0.5658077372251896,0.584223880342308,-0.06579742850508317,0.06579742850508317,0.06594815422593019,Major River,Core,0.06579742850508317,0.018416143117118366,0.6111111111111112,0.2222222222222222,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CmP9,0.6306666666666667,20,0.6183611031744676,0.005643182025354654,0.6093815913015029,0.632991941049943,-0.012305563492199112,0.012538090930526746,0.013478876847247525,Major River,Core,0.012305563492199112,0.023610349748440118,0.1111111111111111,0.43333333333333335,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP1,0.53,20,0.5509991444919393,0.006080636617342642,0.5345128936375552,0.5607120799621457,0.020999144491939275,0.020999144491939275,0.021819475336998906,Stream,Core,0.020999144491939275,0.026199186324590507,0.23333333333333334,0.5333333333333333,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP10,0.615,20,0.533645848868953,0.0060869950231501515,0.5200506499392823,0.547328246812385,-0.0813541511310469,0.0813541511310469,0.08157019577789722,Stream,Core,0.0813541511310469,0.027277596873102716,0.7111111111111111,0.5444444444444444,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP2,0.6011764705882352,20,0.542556979578267,0.0039639469555192396,0.5324410387479755,0.5483218321741077,-0.058619491009968286,0.058619491009968286,0.058746676143936985,Stream,Core,0.058619491009968286,0.015880793426132134,0.5888888888888889,0.1,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP3,0.6058333333333333,20,0.5930799885606064,0.004633031276433402,0.5825358349142188,0.6024378328633251,-0.012753344772726938,0.012753344772726938,0.013529210352420095,Stream,Core,0.012753344772726938,0.019901997949106298,0.12222222222222222,0.23333333333333334,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP4,0.5895238095238097,20,0.5970681911364779,0.0070943319765922235,0.5877823333724135,0.6117129099338247,0.007544381612668238,0.007854670336929747,0.010233804903454066,Stream,Core,0.007544381612668238,0.023930576561411177,0.06666666666666667,0.6888888888888889,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP5,0.4599999999999999,20,0.4405282323336306,0.00533238228496393,0.426638947694076,0.45051439218620126,-0.01947176766636929,0.01947176766636929,0.020153469226026864,Stream,Core,0.01947176766636929,0.023875444492125253,0.2111111111111111,0.34444444444444444,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CsP6,0.5632,20,0.6303325973180367,0.008338654815214987,0.6180553722543274,0.6491804445398515,0.06713259731803663,0.06713259731803663,0.06762279296647396,Stream,Core,0.06713259731803663,0.03112507228552408,0.6222222222222222,0.7777777777777778,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CsP7,0.6247368421052633,20,0.5304345753580018,0.00332708012746901,0.5253224125770972,0.5366564145703568,-0.09430226674726147,0.09430226674726147,0.09435800709392674,Stream,Core,0.09430226674726147,0.011334001993259624,0.7777777777777778,0.03333333333333333,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CsP8,0.618235294117647,20,0.49883050332790485,0.0050050904574819415,0.4892929579294393,0.5091635830500487,-0.11940479078974213,0.11940479078974213,0.11950440346491539,Stream,Core,0.11940479078974213,0.019870625120609442,0.9,0.3,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,CsP9,0.4708333333333334,20,0.4685646434619131,0.004533232820060019,0.46079643109285845,0.47807813645484565,-0.0022686898714202376,0.004179722167115568,0.0049668544918802125,Stream,Core,0.0022686898714202376,0.0172817053619872,0.011111111111111112,0.2111111111111111,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CuP1,0.69,20,0.5489356320213966,0.011085048239238025,0.5267212242989644,0.5664365409229647,-0.14106436797860336,0.14106436797860336,0.141477525752134,Upland,Core,0.14106436797860336,0.039715316624000296,0.9555555555555556,0.9333333333333333,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,CuP10,0.6372400642635879,20,0.6151574672798625,0.006555003728147825,0.6051722764450338,0.6276659061268428,-0.022082596983725326,0.022082596983725326,0.022988274396480154,Upland,Core,0.022082596983725326,0.022493629681809013,0.24444444444444444,0.5888888888888889,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CuP2,0.6658260739031261,20,0.5736829746193728,0.007758752920417366,0.554839370328346,0.5879959736031626,-0.09214309928375335,0.09214309928375335,0.09245290195635673,Upland,Core,0.09214309928375335,0.03315660327481662,0.7555555555555555,0.7222222222222222,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CuP3,0.6322222222222221,20,0.5191946078703347,0.007024837396303025,0.50742210386198,0.5298882524033073,-0.11302761435188749,0.11302761435188749,0.11323481147377458,Upland,Core,0.11302761435188749,0.022466148541327335,0.8444444444444444,0.6666666666666666,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CuP4,0.6173076923076923,20,0.5782601098090406,0.008469384808020302,0.5576379470348353,0.5922422455261098,-0.03904758249865166,0.03904758249865166,0.039910620817822616,Upland,Core,0.03904758249865166,0.034604298491274554,0.45555555555555555,0.8111111111111111,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CuP5,0.6655172413793102,20,0.6153710966080203,0.005508615156365374,0.6051325585518408,0.627229413011881,-0.05014614477128991,0.05014614477128991,0.0504327615178572,Upland,Core,0.05014614477128991,0.02209685446004017,0.5333333333333333,0.37777777777777777,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CuP6,0.6885714285714285,20,0.6126864347682796,0.009011896962432264,0.5928306620859504,0.6287032829205343,-0.0758849938031489,0.0758849938031489,0.07639166091284028,Upland,Core,0.0758849938031489,0.03587262083458398,0.6777777777777778,0.8444444444444444,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,CuP7,0.6502608591225009,20,0.5702355794433329,0.00541151432421157,0.55967791530827,0.57928568420755,-0.08002527967916798,0.08002527967916798,0.08019891302658748,Upland,Core,0.08002527967916798,0.019607768899279954,0.7,0.35555555555555557,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CuP8,0.6104166666666666,20,0.5984793970364366,0.006947761461958961,0.5854489624246143,0.613975813619307,-0.011937269630230013,0.01229318432549405,0.01372429328200472,Upland,Core,0.011937269630230013,0.02852685119469267,0.1,0.6444444444444445,LOW
CD01_CWM_WD,RIDGE,CWM_WD,CuP9,0.6696,20,0.6345984723253503,0.0062205426698045034,0.6212898889150409,0.6452202619660103,-0.03500152767464971,0.03500152767464971,0.03552277203584744,Upland,Core,0.03500152767464971,0.023930373050969456,0.3888888888888889,0.5666666666666667,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TmP1,0.5588888888888889,20,0.4721091780309539,0.004406997682193739,0.45875524032075204,0.47798152303271,-0.08677971085793498,0.08677971085793498,0.0868859526260092,Major River,Transition,0.08677971085793498,0.019226282711957976,0.7222222222222222,0.2,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TmP10,0.5299999999999999,20,0.5362482927488688,0.004107208200063031,0.5291893529289526,0.5441259216111594,0.006248292748868877,0.006347375381824882,0.007420705055067152,Major River,Transition,0.006248292748868877,0.014936568682206719,0.022222222222222223,0.14444444444444443,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TmP2,0.4175,20,0.49729315439205984,0.003952871575888766,0.48667972363559875,0.5051189728152843,0.07979315439205985,0.07979315439205985,0.07988611532579235,Major River,Transition,0.07979315439205985,0.018439249179685535,0.6888888888888889,0.07777777777777778,LOW
