Experiment_ID,Target,Predictor,Analysis_Role,Bin,N,Predictor_Min,Predictor_Mean,Predictor_Median,Predictor_Max,Mean_SHAP,Median_SHAP,SD_SHAP
CD04_Richness,Richness,CWM_SLA,SECONDARY,9,9.0,16.55329870242334,17.31710975589709,17.267074181434733,18.55092468211849,-0.80695583054888,-0.7598400728340685,0.40094076654294986
CD04_Richness,Richness,CWM_SLA,SECONDARY,10,9.0,18.77298264767117,19.95796073022801,19.43329723333501,23.138102740162505,-1.1056934095224729,-1.1031482376004882,0.21858772394865914
CD02_FDis,FDis,Pielou,PRIMARY,1,9.0,0.761,0.7932222222222223,0.793,0.82,-0.18577274959665016,-0.208592746808959,0.09675297173349354
CD02_FDis,FDis,Pielou,PRIMARY,2,9.0,0.821,0.8387777777777777,0.843,0.845,-0.06062106647735813,-0.08105816220932371,0.04752136955855407
CD02_FDis,FDis,Pielou,PRIMARY,3,9.0,0.849,0.8667777777777778,0.871,0.875,-0.07959863903709039,-0.05414023301576461,0.04050960343901203
CD02_FDis,FDis,Pielou,PRIMARY,4,9.0,0.876,0.885,0.886,0.892,-0.0034642088625696783,0.005001905991549303,0.030256171234991434
CD02_FDis,FDis,Pielou,PRIMARY,5,9.0,0.893,0.900888888888889,0.899,0.914,0.053354789009991924,0.04579799730581889,0.034392196290400655
CD02_FDis,FDis,Pielou,PRIMARY,6,10.0,0.915,0.9243,0.923,0.934,0.014177866850323,-0.01841467787125999,0.06530775429526371
CD02_FDis,FDis,Pielou,PRIMARY,7,8.0,0.935,0.9365,0.936,0.94,-0.020545539288907507,-0.024472722587949917,0.013571838877287521
CD02_FDis,FDis,Pielou,PRIMARY,8,9.0,0.944,0.9502222222222222,0.948,0.96,-0.016036531553277375,0.0024624879456260273,0.04335042049172184
CD02_FDis,FDis,Pielou,PRIMARY,9,9.0,0.961,0.9661111111111111,0.969,0.97,0.17427946806376063,0.19740685651282672,0.058752740439523055
CD02_FDis,FDis,Pielou,PRIMARY,10,9.0,0.973,0.983111111111111,0.977,1.0,0.11741821500595731,0.11675655398595323,0.016597499914562577
CD02_FDis,FDis,Richness,SECONDARY,1,13.0,2.0,4.153846153846154,4.0,5.0,-0.09130630516474825,-0.253471978852484,0.24925010881486784
CD02_FDis,FDis,Richness,SECONDARY,2,5.0,6.0,6.0,6.0,6.0,0.010902160181404533,0.01298897775572223,0.009518750752052947
CD02_FDis,FDis,Richness,SECONDARY,3,13.0,7.0,7.0,7.0,7.0,0.062307197953146605,0.053558329205929046,0.033660219562382555
CD02_FDis,FDis,Richness,SECONDARY,4,6.0,8.0,8.0,8.0,8.0,-0.004874013801113391,-0.00985149918631613,0.013422036116990124
CD02_FDis,FDis,Richness,SECONDARY,5,18.0,9.0,9.777777777777779,10.0,10.0,0.011974707206359906,-0.003295093021387612,0.03494625765625677
CD02_FDis,FDis,Richness,SECONDARY,6,8.0,11.0,11.0,11.0,11.0,0.05209728393083763,0.0603293548420553,0.015193960255145161
CD02_FDis,FDis,Richness,SECONDARY,7,16.0,12.0,12.625,13.0,13.0,0.017749691833946948,0.013876935419213376,0.02253252554866693
CD02_FDis,FDis,Richness,SECONDARY,8,6.0,14.0,14.0,14.0,14.0,-0.016246408437308412,-0.008972082291229502,0.01407369738394719
CD02_FDis,FDis,Richness,SECONDARY,9,5.0,15.0,15.6,16.0,16.0,-0.011389172225669908,-0.006330057352482213,0.01359189680156512
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,1,13.0,2.0,4.153846153846154,4.0,5.0,2.8484393356881736,2.8949196019115417,0.7032743742058079
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,2,5.0,6.0,6.0,6.0,6.0,2.0374090672311604,1.9634471543581018,0.17979907140595255
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,3,13.0,7.0,7.0,7.0,7.0,-0.04160903548126091,-0.05524871358207047,0.2878347970002506
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,4,6.0,8.0,8.0,8.0,8.0,-0.7862932043860044,-0.8290338384076674,0.2869525740193399
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,5,18.0,9.0,9.777777777777779,10.0,10.0,-0.5472206289738415,-0.6578758193885406,0.30967041179269794
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,6,8.0,11.0,11.0,11.0,11.0,-1.294005830311788,-1.3012521119177736,0.10691721526176932
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,7,16.0,12.0,12.625,13.0,13.0,-0.8942452512828727,-0.8694986119243943,0.18815318496446862
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,8,6.0,14.0,14.0,14.0,14.0,-0.6100416011758397,-0.6340856645755928,0.08738850643910392
CD01_CWM_SLA,CWM_SLA,Richness,SENSITIVITY,9,5.0,15.0,15.6,16.0,16.0,-0.5881288590028254,-0.6137187540729031,0.044437002532967416
