Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null
CD06_Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,RMSE,6.725036927290772,1.955722492497034,6.214844350564366,6.6299121118247335,-0.0951248154660389,0.42
CD06_Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,MAE,3.383960387795014,0.6502566057500742,3.3305289550810926,3.4716110520181886,0.08765066422317508,0.7
CD06_Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,R2,-0.06516864470069911,0.18987058136766446,-0.026864690811899017,-0.08036406894788226,0.015195424247183145,0.63
CD06_Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,RMSE,4.412136641195601,0.854373191931947,4.415502229959285,4.454639736694141,0.042503095498540144,0.63
CD07_Pielou,FUNCTIONAL_DIVERSITY,TAXONOMIC,Pielou,ELIGIBLE_WITH_CAUTION,MAE,0.04042295572970384,0.006005769088081329,0.040604528419588976,0.04794052114977446,0.007517565420070621,0.95
CD07_Pielou,FUNCTIONAL_DIVERSITY,TAXONOMIC,Pielou,ELIGIBLE_WITH_CAUTION,R2,0.19691986994164473,0.2364930961841112,0.2526680498939163,-0.08957433741310872,0.28649420735475345,0.95
CD07_Pielou,FUNCTIONAL_DIVERSITY,TAXONOMIC,Pielou,ELIGIBLE_WITH_CAUTION,RMSE,0.048177036425908905,0.006680596697473267,0.04831033376376678,0.0569797322670261,0.008802695841117198,0.95
CD07_Richness,FUNCTIONAL_DIVERSITY,TAXONOMIC,Richness,ELIGIBLE_WITH_CAUTION,MAE,2.899733573372172,0.4957764235934586,2.907415510879888,2.8358748734235477,-0.06385869994862389,0.37
CD07_Richness,FUNCTIONAL_DIVERSITY,TAXONOMIC,Richness,ELIGIBLE_WITH_CAUTION,R2,-0.163033206371876,0.20272348482929023,-0.10139510370152816,-0.08725944043304396,-0.07577376593883203,0.29
CD07_Richness,FUNCTIONAL_DIVERSITY,TAXONOMIC,Richness,ELIGIBLE_WITH_CAUTION,RMSE,3.430983942801613,0.5239599187122332,3.4729049645811614,3.3220863942135446,-0.1088975485880683,0.29
