Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat,Taxonomic_Resolution,Family,Genus,Taxonomic_Status
Musanga cecropioides,,,,,2.0,,,,,2.0,2,4,0.00552,1.80995,1.81818,1.8141,Buffer,Stream,Species,Urticaceae,Musanga,ACCEPTED
Nauclea diderrichii,,,,,2.0,,,3.0,2.0,2.0,4,4,0.00552,1.80995,3.63636,2.7232,Buffer,Stream,Species,Rubiaceae,Nauclea,ACCEPTED
Nothospondias staudtii,,,,,3.0,,,,,3.0,2,6,0.00828,2.71493,1.81818,2.2666,Buffer,Stream,Species,Simaroubaceae,Nothospondias,ACCEPTED
Pterocarpus osun,,,,1.0,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream,Species,Fabaceae,Pterocarpus,ACCEPTED
Rauvolfia vomitoria,1.0,,,,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream,Species,Apocynaceae,Rauvolfia,ACCEPTED
Rothmannia hispida,,,,1.0,,,,,1.0,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream,Species,Rubiaceae,Rothmannia,ACCEPTED
Spondias mombin,1.0,,,,,1.0,,,1.0,,3,3,0.00414,1.35747,2.72727,2.0424,Buffer,Stream,Species,Anacardiaceae,Spondias,ACCEPTED
Sterculia oblonga,,,,,1.0,,,,1.0,,2,3,0.00414,1.35747,1.81818,1.5878,Buffer,Stream,Species,Malvaceae,Sterculia,ACCEPTED
Sterculia rhinopetala,,,,,1.0,,,,1.0,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream,Species,Malvaceae,Sterculia,ACCEPTED
Strombosia pustulata,,,,2.0,,,1.0,1.0,,,4,4,0.00552,1.80995,3.63636,2.7232,Buffer,Stream,Species,Strombosiaceae,Strombosia,ACCEPTED
Terminalia superba,,,,,1.0,,,1.0,1.0,,3,3,0.00414,1.35747,2.72727,2.0424,Buffer,Stream,Species,Combretaceae,Terminalia,ACCEPTED
