Plot_ID,Zone,Habitat,Amphimas tetracoides,Annonidium manni,Anthonotha macrophylla,Blighia sapida,Celtis zenkeri,Cleistopholis patens,Diospyros dendo,Drypetes species,Funtumia elastica,Homalium aylmeri,Irvinga gabonensis,Lecaniodiscus cupanioides,Lonchocarpus cilliata,Margaritaria discoidea,Millettia thoningii,Monodora tenuifolia,Nesodogornia papaverifera,Picralima nitida,Pycnanthus angolensis,Ricinodendron heudelotii,Scotellia coricea,Sterculia rhinopetala,Strombosia pustulata,Trichilia gilgiana,Trichilia monadelpha,Uapaca heudelotii,Alstonia boonei,Bombax buonopozense,Bosqueia angolensis,Dialium guinensis,Ficus exasperata,Grewia pubescens,Homalium alymeri,Musanga cecropiodes,Nesodogornia papaverivera,Pavetta corymbosa,Ricinodendron heudeloti,Sterculia tragacantha,Strombosia postulata,Baphia nitida,Cola species,Diospyrous mespiliformis,Garcinia kola,Hildegardia barteri,Lecaniodiscus cupaniodes,Maesobotrya barteri,Nauclea diderrichi,Nesogordonia papaverifera,Pterocarpus osun,Rinorea dentata,Scotellia coriaceae,Terminalia superba,Zanthoxylum xanthoxyloides,Diallium guineense,Dillenia indica,Margartaria discoidea,Musanga cecropioides,Pavetta corymbosia,Pycanthus angolensis,Ricinodendron heudeotii,Afzelia africana,Albizia zygia,Anthocleista djalonensis,Anthocleista vogelii,Brachystegia eurycoma,Bridelia ferruginea,Cassia saimen,Ceiba pentandra,Diospyrous melistoformis,Drypetes,Funtumia africana,Gmelina arborea,Harungana madagascariensis,Hexalobus crispiflorus,Holarrhena floribunda,Macaranga barteri,Melacantha alnifolia,Musanga cecropoides,Nothospondia staudtii,Nuclea diderrichi,Rauvolvia vomitoria,Rothmania hispida,Spondia mombin,Sterculia oblonga,Albizia auxilary,Blighia unijigata,Cleistoformis patens,Dialium guineense,Diospyros soubreana,Diospyros undebunda,Milicia excelsa,Musanga cecropoidies,Myrianthus arboreus,Piptadeniastrum africanum,Ricinidendron heudeloti,Scotellia coriacea,Strombosia putulata,Zanthoxylum zanthoxyloides,Albizia ferruginea,Aningeria robusta,Artocarpus communis,Bambusa vulgaris,Chrysophylum albidum,Cola nitida,Corynante pachycercus,Diospyrous dendo,Elaeis guineensis,Lonchocarpus cyanescens,Mitragyna cilliata,Pterocarpus santoxyloides,Tetrapleura tetraptera,Uapaca heudeloti,Elaeis guinensis,Ficus mucosa,Macranga bateri,Nauclea diderrichii,Termialia superba,Theobroma cacao,Carica papaya,Chrysophyllum albidum,Citrus sinenses,Dracena manni,Elaeis guineense,Ficus mucuso,Musa sapiensis,Raulvolfia vomitoria,Trema orientalis,Community_Plot_ID_Raw,Zone_Key_25,Habitat_Key_25,Recovered_Plot_Number_25,Comparable_Plot_Key_25,Plot_Total_Abundance
CuP1,Core,Upland,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP1,core,upland,1,core||upland||plot01,19
CuP2,Core,Upland,0,1,0,0,1,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP2,core,upland,2,core||upland||plot02,20
CuP3,Core,Upland,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP3,core,upland,3,core||upland||plot03,18
CuP4,Core,Upland,0,2,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP4,core,upland,4,core||upland||plot04,26
CuP5,Core,Upland,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP5,core,upland,5,core||upland||plot05,29
CuP6,Core,Upland,0,0,0,1,1,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP6,core,upland,6,core||upland||plot06,21
CuP7,Core,Upland,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP7,core,upland,7,core||upland||plot07,25
CuP8,Core,Upland,0,3,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP8,core,upland,8,core||upland||plot08,24
CuP9,Core,Upland,0,0,0,0,2,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP9,core,upland,9,core||upland||plot09,25
CuP10,Core,Upland,0,1,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuP10,core,upland,10,core||upland||plot10,23
