Plot_ID,Zone,Habitat,Structural_Coverage_Percent,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Reference_Cluster,Within_Cluster_Consensus,Maximum_External_Consensus,Consensus_Margin,Confidence_Class,Typology_ID,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_FEve,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height,Silhouette
CsP1,Core,Stream,75.0,11,0.97,0.53,12.355166573579424,1.9806053248699595,22.1852393715,1.8290436910347256,0.8475254609168981,39.57666666666667,38.87555555555556,2,0.7372758620689654,0.354,0.38327586206896547,MODERATE_CONFIDENCE,T2,0.4450501593334422,1.1392421013170235,-0.16050089883129035,-0.8229475876895915,-0.6202454069549498,-0.6440363095783515,0.7440774370220327,0.9629251760687855,1.6410194968618712,2.5698053504886715,0.2955441690545094
CsP2,Core,Stream,76.47058823529412,10,0.934,0.6011764705882352,15.43824191382353,2.2527148354894457,23.327524133176468,1.585489648486885,0.780933513028226,35.815384615384616,35.47692307692308,2,0.7750689655172412,0.341,0.4340689655172412,MODERATE_CONFIDENCE,T2,0.1434459191240022,0.5195548554928396,0.5749928426789126,0.31644199997858413,0.08033466290494667,-0.39494225739362315,-0.11029400723262019,0.15272820112168692,1.0952022537593975,1.7979667055404058,0.3789139528739937
CsP4,Core,Stream,76.19047619047619,13,0.946,0.5895238095238097,14.71670303787216,2.1573678344657297,23.29965977990476,1.703158438505631,0.7724094041281778,31.8375,32.284375,2,0.8168275862068965,0.447,0.36982758620689654,HIGH_CONFIDENCE,T2,1.0482586397523221,0.7261172707675664,0.45458143123922795,0.04978815872289184,-0.16514815203251512,-0.4010185396840123,0.30248031184798463,0.049018856915621335,0.517952798773986,1.072930386633689,0.39220732433770406
CsP6,Core,Stream,84.0,15,0.961,0.5632,14.60966942201894,2.284975548956336,23.32874908464,1.748561221878778,0.8545477254403343,40.33809523809524,38.96666666666666,2,0.7510689655172414,0.338,0.4130689655172414,MODERATE_CONFIDENCE,T2,1.6514671201712021,0.9843202898609771,0.18256742158884132,0.010232528718735383,0.1633939166697641,-0.3946751365022154,0.46175026769803845,1.0483621944253876,1.751513960720262,2.590496930699787,0.36687372049226813
CsP7,Core,Stream,78.94736842105263,9,0.923,0.6247368421052633,14.167188328053996,2.3143805726454763,24.270524517263155,1.4797042507397251,0.7562929405884304,36.73333333333333,35.78666666666666,2,0.7752068965517241,0.345,0.43020689655172417,MODERATE_CONFIDENCE,T2,-0.1581583210854378,0.33020597482433844,0.8184511886072596,-0.15329197054431626,0.23910083886983824,-0.18930545406345822,-0.4813821735747609,-0.14706355876289265,1.2284100886702192,1.8683103140630004,0.3046028855297454
CsP9,Core,Stream,100.0,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,2,0.5153103448275862,0.533,-0.017689655172413832,LOW_CONFIDENCE,T2,-1.0629710417137577,0.8121849437987033,-0.7718927349213841,-0.05238021393337434,-1.3881458353188514,1.6633601272856027,0.16903955965489534,0.839257262967768,2.665287283316526,3.677561900815537,0.06175021029713178
CsP10,Core,Stream,88.88888888888889,10,0.962,0.615,15.144493302263127,2.525849451418161,25.574250183,1.580018149829522,0.7351237179262486,35.85,36.484375,2,0.774103448275862,0.341,0.43310344827586195,MODERATE_CONFIDENCE,T2,0.1434459191240022,1.0015338244672045,0.7178366685094076,0.2078834756262707,0.7835539949777607,0.094993452751166,-0.12948766200109052,-0.40462082667093724,1.1002254542378784,2.0267617670973697,0.351644832265848
CuP1,Core,Upland,94.73684210526316,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,1,0.9351599999999999,0.604,0.3311599999999999,HIGH_CONFIDENCE,T1,-0.4597625612948778,-1.9419805931976744,1.4928404043982586,-1.708444765886099,-0.41804229713215435,0.5219505752437307,-0.3199811023381594,-0.7727296711038664,-0.8886518611368828,-1.1377725524618187,0.4140157957069649
CuP2,Core,Upland,100.0,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,0.1434459191240022,-1.1329444667049893,1.243041963915882,-0.8496033549524254,-0.4039757666687425,-0.26943445062580834,0.16426745843528448,-0.3335417841138169,-0.7964234197591481,-0.8503740734197267,0.40623724179551535
CuP3,Core,Upland,100.0,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,-0.7613668015043178,-1.029663259067625,0.895800489343143,-1.1016270832054766,-0.41701167118991483,0.9738151681517863,0.33567725109481283,-0.2805881375438023,-0.7378938319617394,-0.7403428106019521,0.3529141377422904
CuP4,Core,Upland,100.0,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272356,0.7268947005519822,21.307692307692307,22.46153846153846,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,0.1434459191240022,-1.2534392089485809,0.741682937305988,-0.5082336038450856,-0.2654803600875043,0.5789915883319919,0.6586438129739833,-0.5047399130590363,-1.010076880110529,-1.1578624075448456,0.3670679321181585
CuP5,Core,Upland,100.0,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,1,0.9365600000000001,0.609,0.3275600000000001,HIGH_CONFIDENCE,T1,1.0482586397523221,-0.5304707554870307,1.2398506791195985,-0.7814766481276746,-0.07883238136655811,1.1868178699904006,0.1261003948937792,-0.05498491940564796,-0.8715828163436808,-0.9995531447016879,0.29444329306864936
CuP6,Core,Upland,95.23809523809524,12,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,0.8151852102725584,22.145,23.3505,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,0.7466543995428822,-1.4427880896170822,1.478078428476566,-1.776883466736593,-0.18505432400409683,-0.07785128332857641,-0.07541354280525962,0.5694545828241006,-0.888571241869945,-0.9559768333996341,0.3920934014195933
CuP7,Core,Upland,100.0,10,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,0.796234603853356,21.196,22.148000000000003,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,0.1434459191240022,-0.8747414476115785,1.0822006358505898,-0.8516868095502562,-0.03184350577294686,0.4417091015842697,0.5917548238332676,0.33889031070040293,-1.0262850736544267,-1.2290678417347705,0.374581201804861
CuP8,Core,Upland,100.0,11,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583335,1.7460953380476807,0.7978924330681779,23.666666666666668,24.05458333333333,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,0.4450501593334422,-1.4427880896170822,0.6704753290939773,-1.6916579420682964,0.39875405589032165,-0.12470990406734875,0.4531001105990241,0.35906044023427924,-0.6677550697251748,-0.7960776005913486,0.3695760737317107
CuP9,Core,Upland,96.0,14,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,0.7765074705500125,20.791666666666668,21.738333333333333,1,0.9366800000000001,0.608,0.3286800000000001,HIGH_CONFIDENCE,T1,1.3498628799617622,-0.4788301516683486,1.2820393882364913,-0.603888416486661,-0.535732388905471,-0.39045063341164293,0.18602263555924037,0.09887835379733827,-1.0849597761323249,-1.3221042517815857,0.2856923478501064
CuP10,Core,Upland,100.0,13,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,0.8247789215583404,22.78695652173913,23.544347826086955,1,0.9308799999999999,0.615,0.31587999999999994,HIGH_CONFIDENCE,T1,1.0482586397523221,-0.2550542017873926,0.9476517737185914,-0.5533438244472463,-0.1521407395302494,0.2806757583353465,0.609809400743039,0.6861773414863179,-0.7954139263296568,-0.9119534668385856,0.19567065023836328
