Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_FEve,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height
CuP6,Core,Upland,12,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,0.8151852102725584,22.145,23.3505,95.23809523809524,True,True,0.8851073864145518,-1.2053208464713752,1.703050642645341,-1.654384029761092,-0.28582601724665857,-0.12541678628064748,-0.010226252960974,0.5801214836248765,-0.7123304041037934,-0.7673677269946276
CuP7,Core,Upland,10,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,0.796234603853356,21.196,22.148000000000003,100.0,True,True,0.31649294423308205,-0.6845436329144491,1.3052267375702442,-0.8382503108421354,-0.1451383374271107,0.33116491446425766,0.5894827239120399,0.37399424049371505,-0.834534023179605,-1.0564070103693732
CuP8,Core,Upland,11,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583335,1.7460953380476807,0.7978924330681779,23.666666666666668,24.05458333333333,100.0,True,True,0.6008001653238169,-1.2053208464713752,0.8914774128969357,-1.579204959609796,0.2502630616762015,-0.16659542378407846,0.4648478035975679,0.3920265798328551,-0.5163839618554333,-0.598130519424758
CuP9,Core,Upland,14,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,0.7765074705500125,20.791666666666668,21.738333333333333,96.0,True,True,1.4537218285960214,-0.32157769619295506,1.5060478857638395,-0.619662594920025,-0.6078403755287843,-0.40012430259103815,0.2247753311736523,0.1594206530976522,-0.886600405314821,-1.1548766650519973
CuP10,Core,Upland,13,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,0.8247789215583404,22.78695652173913,23.544347826086955,100.0,True,True,1.1694146075052867,-0.11642303630689324,1.1700164409741574,-0.5750762407087807,-0.25560272174030485,0.18965128126151667,0.6057117485299001,0.6844730391893862,-0.6296650613789868,-0.7207734344907392
BmP1,Buffer,Major River,10,0.893,0.54,10.493065249566962,2.3493239389796328,21.626548692380958,1.6922096019465238,0.7247879056998263,27.904761904761905,26.45714285714286,100.0,True,True,0.31649294423308205,-0.05329852557272038,0.1602579682721359,-1.419940813550194,0.18627200856235843,-0.7300353608241853,0.29493335703516466,-0.40313713965507536,0.029359532436665923,-0.020638558487479055
BsP1,Buffer,Stream,7,0.768,0.5485185185185185,12.926785118750628,1.8531747457943168,21.269943194000003,1.4615722971983691,0.42640420655001,29.06296296296296,29.17407407407407,100.0,True,True,-0.5364287190391225,-2.025939486015621,0.24871581035692403,-0.6265522009220863,-0.9867144055286527,-0.7983729228637002,-0.43232051065554106,-3.648680207802341,0.17850216776817676,0.6324174514254313
BsP2,Buffer,Stream,7,0.77,0.5675000000000001,11.880617518478736,1.496132097017028,19.9259936604,1.2376536979554675,0.6817208475770298,29.06,28.855,100.0,True,True,-0.5364287190391225,-1.9943772306485343,0.4458229584806388,-0.9676010913330451,-1.8308277932337915,-1.055918684348999,-1.1383887138246047,-0.8715809331806632,0.1781206242515683,0.5557231132018721
BsP3,Buffer,Stream,8,0.878,0.541111111111111,12.414858938674309,2.7474583171693,30.47159690055556,1.670383487840285,0.7693542619485259,28.427777777777777,29.77777777777778,100.0,True,True,-0.2521214979483876,-0.29001544082586866,0.17179594767449796,-0.793439280623249,1.1275336754429124,0.96497224116997,0.2261104668364019,0.08161463803142824,0.09670877639518517,0.7775268783603169
BsP4,Buffer,Stream,13,0.845,0.5199033743906257,14.565950450277777,2.2388629136331826,22.52169870388889,1.3718923212641478,0.6903569542590597,34.56666666666667,34.044444444444444,100.0,True,True,1.1694146075052867,-0.8107926543827948,-0.04842903883204252,-0.09218704052889849,-0.07487783063440447,-0.5584946254069577,-0.7151026452446926,-0.777645318542514,0.8872192498688539,1.8030855276179056
BsP5,Buffer,Stream,12,0.961,0.47,16.55329870242334,1.5042409010164042,27.4457362834,1.8642543387857864,0.8960697993611846,33.21315789473684,30.489473684210523,95.0,True,True,0.8851073864145518,1.0198181569082168,-0.5666347340767791,0.555685170461245,-1.81165711421942,0.38511596136888215,0.8374310263467656,1.4599095490738674,0.7129266572653946,0.9485938844110953
