Zone,Habitat,Variable,N,Mean,SD,Median,Reference_Mean,Reference_SD,Standardized_Cell_Mean,Relative_Profile
Buffer,Stream,CWM_WD,10,0.5251431491180185,0.03854546265064809,0.5360555555555555,0.5447764842800867,0.09524364367614438,-0.20613800988995312,NEAR_AVERAGE
Buffer,Stream,CWM_SLA,10,13.86261455703027,1.6425621255938532,13.82825559114271,14.499146391525384,2.6615652533832566,-0.23915695235575576,NEAR_AVERAGE
Buffer,Stream,CWM_Log10_Seed_Mass,10,1.9579969088729168,0.435572857263946,1.8067069113619625,2.2138487488002556,0.4000449141090909,-0.6395577868978205,LOW
Buffer,Stream,CWM_Max_Height_m,10,25.0414589733691,3.646139011636344,25.07504266343116,24.927614751117996,4.64953537438431,0.02448507497723433,NEAR_AVERAGE
Buffer,Stream,FDis,10,1.5869655543061614,0.22316957464114504,1.614691363018371,1.619373419856024,0.28382128710717003,-0.11418405532642595,NEAR_AVERAGE
Buffer,Stream,FEve,10,0.7505060169941382,0.13423944084339334,0.765636431382978,0.7670157097624055,0.08538747756395784,-0.19335028085237718,NEAR_AVERAGE
Buffer,Stream,Estimated_Mean_DBH,10,30.432794572400997,2.3000010992328237,30.136647727272724,28.434281973481543,6.838080051514652,0.2922622408429949,NEAR_AVERAGE
Buffer,Stream,Estimated_Mean_Height,10,30.213855964182585,1.8275099605459852,29.843055555555555,27.767747892853237,4.506818726139017,0.5427571464417261,HIGH
Buffer,Upland,Richness,10,11.6,2.590581230363393,11.5,9.455555555555556,3.402448262982431,0.6302651146162386,HIGH
Buffer,Upland,Pielou,10,0.9119999999999999,0.06558963332722634,0.925,0.9043555555555555,0.05759590167830805,0.1327254929897821,NEAR_AVERAGE
Buffer,Upland,CWM_WD,10,0.6011162036329682,0.0610172115173489,0.6032189542483661,0.5447764842800867,0.09524364367614438,0.5915325913449161,HIGH
Buffer,Upland,CWM_SLA,10,13.738979744760332,1.40529159548163,13.905976155807613,14.499146391525384,2.6615652533832566,-0.2856088708697876,NEAR_AVERAGE
Buffer,Upland,CWM_Log10_Seed_Mass,10,2.097365026729123,0.12413356129092444,2.1270953509227217,2.2138487488002556,0.4000449141090909,-0.29117661033272896,NEAR_AVERAGE
Buffer,Upland,CWM_Max_Height_m,10,24.734199578941197,2.6538524544849844,24.814695150758823,24.927614751117996,4.64953537438431,-0.04159881721566876,NEAR_AVERAGE
Buffer,Upland,FDis,10,1.5804912960213322,0.16847378323166032,1.5897715001874722,1.619373419856024,0.28382128710717003,-0.13699509374717875,NEAR_AVERAGE
Buffer,Upland,FEve,10,0.7827175722361361,0.07696630254633484,0.8094358684560624,0.7670157097624055,0.08538747756395784,0.18388952246504114,NEAR_AVERAGE
Buffer,Upland,Estimated_Mean_DBH,10,26.473233875601522,2.3786534474988383,26.655995475113123,28.434281973481543,6.838080051514652,-0.286783436740499,NEAR_AVERAGE
Buffer,Upland,Estimated_Mean_Height,10,28.525801239524146,2.4425908160571232,29.18700980392157,27.767747892853237,4.506818726139017,0.16820142826563872,NEAR_AVERAGE
Core,Major River,Richness,10,12.2,2.5298221281347035,12.5,9.455555555555556,3.402448262982431,0.8066087218145644,HIGH
Core,Major River,Pielou,10,0.8995,0.032999158238422435,0.887,0.9043555555555555,0.05759590167830805,-0.08430383784379951,NEAR_AVERAGE
Core,Major River,CWM_WD,10,0.6555236700799201,0.035426731291402995,0.645922619047619,0.5447764842800867,0.09524364367614438,1.1627777090973697,VERY_HIGH
Core,Major River,CWM_SLA,10,12.605436407219306,1.4998263126910705,12.753271711023865,14.499146391525384,2.6615652533832566,-0.7115023694793441,LOW
Core,Major River,CWM_Log10_Seed_Mass,10,2.4086589377270227,0.12825217163981092,2.3722192793546624,2.2138487488002556,0.4000449141090909,0.4869707926686526,NEAR_AVERAGE
Core,Major River,CWM_Max_Height_m,10,25.328602554227125,2.293076453963582,25.295828930192307,24.927614751117996,4.64953537438431,0.08624255346422156,NEAR_AVERAGE
Core,Major River,FDis,10,1.487937880039429,0.13031023704934663,1.5062928833709814,1.619373419856024,0.28382128710717003,-0.46309260716926176,NEAR_AVERAGE
Core,Major River,FEve,10,0.7580963693104412,0.03886630734840698,0.7596179031139103,0.7670157097624055,0.08538747756395784,-0.10445724251876908,NEAR_AVERAGE
Core,Major River,Estimated_Mean_DBH,10,25.212478680919467,2.3007804050255496,25.48635477582846,28.434281973481543,6.838080051514652,-0.4711561239837252,NEAR_AVERAGE
Core,Major River,Estimated_Mean_Height,10,25.74105712273107,2.315735396543525,26.46651111111111,27.767747892853237,4.506818726139017,-0.44969431727253595,NEAR_AVERAGE
Core,Stream,Richness,10,9.8,3.155242550986462,10.0,9.455555555555556,3.402448262982431,0.10123429302126132,NEAR_AVERAGE
Core,Stream,Pielou,10,0.9417,0.026770838197146096,0.9484999999999999,0.9043555555555555,0.05759590167830805,0.6483871830503749,HIGH
Core,Stream,CWM_WD,10,0.5678539083001622,0.06102745775345532,0.5953501400560224,0.5447764842800867,0.09524364367614438,0.24229883621993034,NEAR_AVERAGE
Core,Stream,CWM_SLA,10,13.994407009383954,2.06797423850971,14.52495748286087,14.499146391525384,2.6615652533832566,-0.18964005541469606,NEAR_AVERAGE
Core,Stream,CWM_Log10_Seed_Mass,10,2.073607454677938,0.32958680806060375,2.160576818199249,2.2138487488002556,0.4000449141090909,-0.350563872145802,NEAR_AVERAGE
Core,Stream,CWM_Max_Height_m,10,24.47095205847295,3.256441307589426,23.67447878465333,24.927614751117996,4.64953537438431,-0.09821684445309073,NEAR_AVERAGE
Core,Stream,FDis,10,1.6977849756520413,0.1436873054534481,1.6841385877979542,1.619373419856024,0.28382128710717003,0.27627087663234184,NEAR_AVERAGE
Core,Stream,FEve,10,0.7942452900954255,0.08481722084519464,0.776671458578202,0.7670157097624055,0.08538747756395784,0.31889430522905704,NEAR_AVERAGE
Core,Stream,Estimated_Mean_DBH,10,37.793794063779366,4.148905436143574,36.75,28.434281973481543,6.838080051514652,1.3687339165069685,VERY_HIGH
Core,Stream,Estimated_Mean_Height,10,36.87430913775766,3.3346072633252377,36.1921875,27.767747892853237,4.506818726139017,2.0206184890657894,VERY_HIGH
Core,Upland,Richness,10,10.8,2.250925735484551,10.5,9.455555555555556,3.402448262982431,0.3951403050184711,NEAR_AVERAGE
Core,Upland,Pielou,10,0.8435,0.03006382100354733,0.841,0.9043555555555555,0.05759590167830805,-1.0565952399782474,VERY_LOW
Core,Upland,CWM_WD,10,0.6526962248436534,0.02789868348824997,0.6578890502509056,0.5447764842800867,0.09524364367614438,1.1330912636073085,VERY_HIGH
Core,Upland,CWM_SLA,10,11.76058001142929,1.3579170954988116,12.280219897399386,14.499146391525384,2.6615652533832566,-1.0289307679437718,VERY_LOW
